boat,phrf,loa,displacement
Concordia 40 Fractional,177,40.00,
Concordia 40 Fractional Yawl,180,39.80,18000
Concordia 40 Masthead Yawl,177,40.00,18837
Concordia 41,174,41.00,23400
Concordia 46,6,47.40,21250
Concordia 47,-12,46.80,16750
Constellation 30,192,30.00,
Contention 33,144,33.00,9300
Contessa 26,246,26.00,5400
Contessa 32,180,32.00,9500
Contessa 33,138,32.70,8988
Contessa 33 TM,132,32.70,7300
Contessa 35,111,35.00,14000
Contessa 35 Single Spreader,117,35.00,12907
Contessa 42,75,42.00,17800
Contessa 43,66,42.50,21000
Contessa MOD 33 REBEL,135,32.70,8988
"Contessa Mod 35 ""Crossbow""",114,35.00,
"Contessa Mod 35 ""Huff N Puff""",114,35.00,14000
"Contessa Mod 35 ""Spitfire""",,35.00,
Contest 29,234,29.00,8500
Contest 30,222,30.00,9100
Contest 31,192,31.00,10500
Contest 33,222,33.00,9370
Contest 35,177,34.90,14880
Contest 36S,144,35.80,15985
Contest 36S Wing,147,35.80,17305
Contest 40,186,40.00,
Contest 42 K,186,42.60,26852
Contest 44,120,44.00,39603
Contest 48,186,48.00,38000
Corbin 39,150,38.60,23000
Corby 29,99,29.00,6872
Corby 33,63,32.80,9240
Corel 45 ODR,-24,45.30,15189
Cork 1720,111,26.00,3003
Coronado 23,270,23.00,2200
Coronado 25,228,25.00,4300
Coronado 27 IB,228,27.00,
Coronado 28 IB,216,28.00,
Coronado 30,186,30.00,8500
Coronado 34,174,34.00,10500
Coronado 35 Motorsailer,192,35.00,13000
Coronado 41 Motorsailer,108,41.00,19500
Corsair 24,285,24.00,
CR 38,132,38.00,17000
Crealock 34,207,34.10,13500
Crealock 37,177,36.90,16000
Creekmore 22,204,22.00,1000
Creekmore 23,207,23.00,3000
Creekmore 26,162,26.00,5100
Creekmore 27,159,27.00,6037
CS Yachts 22,226,22.00,2200
CS Yachts 27 IB,198,27.00,6100
CS Yachts 30,156,30.00,8150
CS Yachts 33,150,33.00,10000
CS Yachts 36,129,36.00,15500
CS Yachts 40 Shoal Draft,105,39.25,17000
CS Yachts 40 TM,96,39.30,19000
CSY Yachts 37,180,37.00,19690
CSY Yachts 44,150,44.00,38000
CSY Yachts 50,132,49.60,45000
CT 37,192,37.00,23870
CT 41,237,41.00,27500
CT 65,99,65.00,100000
"Custom ""Abracadabra""",96,37.10,12400
"Custom ""Abracadabra""",51,42.30,13194
"Custom ""Adrenalin""",48,35.10,3300
"Custom ""Aegir II""",204,39.50,18600
