boat,phrf,loa
"Custom ""Encore""",-73,73.00
"Custom ""Enterprise""",66,52.10
"Custom ""Epic""",69,40.00
"Custom ""Equation""",-51,50.00
"Custom ""Equinox""",45,46.20
"Custom ""Equinox""",15,55.00
"Custom ""Essence""",-42,90.00
"Custom ""Evelution""",69,41.10
"Custom ""Exit 12""",210,28.80
"Custom ""Falcon""",-27,56.40
"Custom ""Fazisi""",-69,82.80
"Custom ""Fiddler""",75,41.80
"Custom ""Fiddler""",-30,65.40
"Custom ""Finally""",168,27.00
"Custom ""Firebrand""",114,35.00
"Custom ""Firewater""",111,36.40
"Custom ""First Rate""",96,43.30
"Custom ""Fling""",117,36.00
"Custom ""Flying Cloud""",78,43.00
"Custom ""Flyway II""",-24,55.50
"Custom ""Flyway""",33,47.80
"Custom ""Fortune""",84,50.00
"Custom ""Freebooter""",117,39.00
"Custom ""Froya""",87,46.30
"Custom ""Full Tilt Boogie""",63,39.70
"Custom ""Fury""",48,45.00
"Custom ""Gallant",99,64.30
"Custom ""Gemini""",99,39.20
"Custom ""Glide""",84,36.60
"Custom ""Gray Goose""",-69,72.00
"Custom ""Green Dragon""",60,44.00
"Custom ""Hard Eight""",6,41.00
"Custom ""Harrier""",60,39.60
"Custom ""Harrier""",-15,48.00
"Custom ""Haxan""",198,26.40
"Custom ""Heat Wave""",87,29.90
"Custom ""HERCULES""",-105,79.70
"Custom ""High Five""",15,40.00
"Custom ""High Noon""",-12,41.00
"Custom ""Hissar""",-30,62.90
"Custom ""Hooligan""",36,42.10
"Custom ""Horrendous""",201,36.60
"Custom ""Hot 'N' Bothered""",192,24.00
"Custom ""HOT FLASH""",111,37.60
"Custom ""Hot Flash""",105,37.00
"Custom ""Hotspur""",81,40.10
"Custom ""Hullabaloo""",180,21.80
"Custom ""Hydrotherapy""",84,26.30
"Custom ""Idler""",,33.00
"Custom ""Impression""",111,33.40
"Custom ""Impulse""",63,42.00
"Custom ""Irascible""",126,30.50
"Custom ""J.A.R.D. Loose""",45,40.00
"Custom ""Javelin""",-36,77.10
"Custom ""Javelin""",-27,49.90
"Custom ""Jingo""",81,42.00
"Custom ""Josher III""",48,52.00
"Custom ""Katabatic""",57,40.00
"Custom ""KITTIWAKE""",45,48.20
"Custom ""Knock on Wood""",114,37.00
"Custom ""Kodiak""",-15,66.40
"Custom ""leilani""",150,50.00
"Custom ""Leverage""",63,40.00
"Custom ""Lickety Split""",150,31.10
"Custom ""Lillian""",273,22.00
"Custom ""Lindy""",87,37.80
"Custom ""Live Wire""",54,42.40
"Custom ""Lotus""",108,33.80
"Custom ""Louisiana Crude""",57,42.40
"Custom ""Lucy Vincent""",189,30.30
"Custom ""MadCap""",102,35.60
"Custom ""Magali""",105,42.50
"Custom ""Magic Moment""",141,52.00
"Custom ""Magic""",171,38.00
"Custom ""Magic""",60,37.10
"Custom ""Magique Noire""",117,47.80
"Custom ""Masquerade""",195,35.70
"Custom ""Matriarch""",87,29.90
